"liz_id","egg_incub_temp","liz_hatch_date","egg_tub_id","egg_clutch_id","liz_egg_id","liz_notes","chrono_age"
"ld0449","29","28/11/2017","e044","c0074","egg0227","",126
"ld0451","29","04/12/2017","e045","c0080","egg0244","",120
"ld0455","29","08/12/2017","e043","c0081","egg0247","",116
"ld0457","29","09/12/2017","e026","c0082","egg0249","",115
"ld0458","29","10/12/2017","e026","c0084","egg0252","",114
"ld0460","23","14/12/2017","e044","c0074","egg0228","",110
"ld0461","23","15/12/2017","e029","c0083","egg0251","",109
"ld0463","23","15/12/2017","e035","c0093","egg0275","",109
"ld0466","29","18/12/2017","e001","c0087","egg0258","",106
"ld0469","29","19/12/2017","e006","c0095","egg0277","",105
"ld0471","29","19/12/2017","e0m1b","c0090","egg0265","",105
"ld0472","29","19/12/2017","e0m1b","c0090","egg0264","",105
"ld0473","29","19/12/2017","e0m6","c0091","egg0268","",105
"ld0477","23","22/12/2017","e0m8","c0078","egg0238","",102
"ld0479","23","22/12/2017","e0m8","c0078","egg0235","",102
"ld0481","23","22/12/2017","e045","c0080","egg0242","",102
"ld0484","29","27/12/2017","e014","c0099","egg0287","",97
"ld0487","23","29/12/2017","e026","c0082","egg0248","",95
"ld0488","29","07/01/2018","c043","c0107","egg0310","",86
"ld0489","29","07/01/2018","e0m8","c0108","egg0312","",86
"ld0490","23","07/01/2018","e0043","c0088","egg0262","",86
"ld0492","23","07/01/2018","e0m6","c0091","egg0270","",86
"ld0493","29","05/01/2018","c043","c0103","egg0302","",88
"ld0494","23","05/01/2018","e001","c0087","egg0260","",88
"ld0497","23","06/01/2018","e0m2a","c0097","egg0283","",87
"ld0507","23","09/01/2018","e0m1b","c0090","egg0267","",84
"ld0502","29","09/01/2018","e026","c114","egg0331","",84
"ld0503","29","09/01/2018","e044","c0109","egg0316","",84
"ld0504","29","09/01/2018","e037","c112","egg0326","",84
"ld0505","29","10/01/2018","e048","c0118","egg0335","",83
"ld0510","29","11/01/2018","e006","c0123","egg0347","",82
"ld0511","29","15/01/2018","e045","c0125","egg0353","",78
"ld0512","29","15/01/2018","e045","c0125","egg0356","",78
"ld0513","23","16/01/2018","e014","c0099","egg0290","",77
"ld0515","23","18/01/2018","e040","c0100","egg0294","",75
"ld0519","23","25/01/2018","e043","c0103","egg0300","",68
"ld0521","23","26/01/2018","e043","c0107","egg0308","",67
"ld0527","23","29/01/2018","c043","c0107","egg0311","",64
"ld0528","23","29/01/2018","e044","c0109","egg0315
","",64
"ld0529","23","30/01/2018","e037","c112","egg0324","",63
"ld0530","23","30/01/2018","e001","c0119","egg0340","",63
"ld0539","23","05/02/2018","e045","c0125","egg0355","",57
"ld0540","29","07/02/2018","e037","c0134","egg0374","",55
"ld0541","29","08/02/2018","e037","c0134","egg0376","",54
"ld0543","23","10/02/2018","e025","c0126","egg0359","",52
"ld0544","23","13/02/2018","e040","c0129","egg0366","",49
"ld0545","23","14/02/2018","e040","c0129","egg0368","",48
"ld0546","29","19/02/2018","e029","c0136","egg0383","",43
"ld0550","29","02/03/2018","e043","c0138","egg0386","",32
"ld0553","23","12/03/2018","e034","c0137","egg0385
","",22
